,M4,M19,M22,M24,costs,entropy
yellow,0.5,0.5,0.0,0.001,0.0,1.006
convex,0.5,0.5,0.001,0.0,0.0,1.006
scaly,0.499,0.499,0.001,0.001,0.0,1.013
edible,0.499,0.499,0.001,0.001,0.0,1.013
free,0.499,0.499,0.001,0.001,0.0,1.013
closed,0.499,0.499,0.001,0.001,0.0,1.013
grasses,0.999,0.0,0.001,0.0,0.0,0.013
paths,0.0,0.999,0.0,0.001,0.0,0.013
white,0.0,0.0,1.0,0.0,0.0,0.0
flat,0.0,0.0,0.0,1.0,0.0,0.0
prior,0.333,0.333,0.167,0.167,,
alpha,4.0, , , , , 
entropy,1.001,1.001,0.007,0.007,,
entropy_sum,2.016, , , , , 
