,M68,M64,M75,M74,M59,M78,costs,entropy
white,0.199,0.199,0.199,0.199,0.003,0.199,0.0,2.347
convex,0.2,0.2,0.2,0.2,0.0,0.2,0.0,2.322
smooth,0.199,0.199,0.199,0.199,0.003,0.199,0.0,2.347
poisonous,0.199,0.199,0.199,0.199,0.003,0.199,0.0,2.347
free,0.199,0.199,0.199,0.199,0.003,0.199,0.0,2.347
closed,0.199,0.199,0.199,0.199,0.003,0.199,0.0,2.347
grasses,0.496,0.0,0.496,0.0,0.009,0.0,0.0,1.063
urban,0.0,0.333,0.0,0.333,0.0,0.333,0.0,1.585
flat,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
prior,0.167,0.167,0.167,0.167,0.167,0.167,,
alpha,4.0, , , , , , , 
entropy,0.548,0.552,0.548,0.552,0.034,0.552,,
entropy_sum,2.784, , , , , , , 
