,M2,M17,M36,M41,M44,M5,costs,entropy
white,0.249,0.249,0.002,0.249,0.002,0.249,0.0,2.03
bell,0.25,0.25,0.0,0.25,0.002,0.25,0.0,2.015
smooth,0.249,0.249,0.002,0.249,0.002,0.249,0.0,2.03
edible,0.249,0.249,0.002,0.249,0.002,0.249,0.0,2.03
free,0.249,0.249,0.002,0.249,0.002,0.249,0.0,2.03
closed,0.249,0.249,0.002,0.249,0.002,0.249,0.0,2.03
meadows,0.25,0.25,0.002,0.25,0.0,0.25,0.0,2.015
convex,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
grasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
prior,0.167,0.167,0.167,0.167,0.167,0.167,,
alpha,4.0, , , , , , , 
entropy,0.583,0.583,0.016,0.583,0.016,0.583,,
entropy_sum,2.363, , , , , , , 
