,M85,M84,M83,M73,M94,M66,M62,M80,M53,costs,entropy
white,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.0,3.0
convex,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.0,3.002
scaly,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.0,3.002
poisonous,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.0,3.002
free,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.0,3.002
closed,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.0,3.002
grasses,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.0,3.002
brown,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
prior,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,,
alpha,4.0, , , , , , , , , , 
entropy,0.292,0.292,0.292,0.292,0.001,0.292,0.292,0.292,0.292,,
entropy_sum,2.334, , , , , , , , , , 
