,brown,convex,scaly,poisonous,free,closed,urban,flat,grasses
M88,0.12046339035206806,0.19884152411982986,0.12046339035206806,0.12046339035206806,0.12046339035206806,0.12046339035206806,0.19884152411982986,0.0,0.0
M65,0.12046339035206806,0.19884152411982986,0.12046339035206806,0.12046339035206806,0.12046339035206806,0.12046339035206806,0.19884152411982986,0.0,0.0
M76,0.12046339035206806,0.19884152411982986,0.12046339035206806,0.12046339035206806,0.12046339035206806,0.12046339035206806,0.19884152411982986,0.0,0.0
M61,0.12046339035206806,0.19884152411982986,0.12046339035206806,0.12046339035206806,0.12046339035206806,0.12046339035206806,0.19884152411982986,0.0,0.0
M96,0.12046339035206806,0.19884152411982986,0.12046339035206806,0.12046339035206806,0.12046339035206806,0.12046339035206806,0.19884152411982986,0.0,0.0
M81,0.0035552314623293413,0.0,0.0035552314623293413,0.0035552314623293413,0.0035552314623293413,0.0035552314623293413,0.0058684023461589505,0.9763554403421943,0.0
M63,0.12046339035206806,0.19884152411982986,0.12046339035206806,0.12046339035206806,0.12046339035206806,0.12046339035206806,0.19884152411982986,0.0,0.0
M58,0.0035552314623293413,0.0058684023461589505,0.0035552314623293413,0.0035552314623293413,0.0035552314623293413,0.0035552314623293413,0.0,0.0,0.9763554403421943
M93,0.12046339035206806,0.19884152411982986,0.12046339035206806,0.12046339035206806,0.12046339035206806,0.12046339035206806,0.19884152411982986,0.0,0.0
M87,0.12046339035206806,0.19884152411982986,0.12046339035206806,0.12046339035206806,0.12046339035206806,0.12046339035206806,0.19884152411982986,0.0,0.0
M90,0.12046339035206806,0.19884152411982986,0.12046339035206806,0.12046339035206806,0.12046339035206806,0.12046339035206806,0.19884152411982986,0.0,0.0
M89,0.12046339035206806,0.19884152411982986,0.12046339035206806,0.12046339035206806,0.12046339035206806,0.12046339035206806,0.19884152411982986,0.0,0.0
M69,0.0018042399639152029,0.0,0.0018042399639152029,0.0018042399639152029,0.0018042399639152029,0.0018042399639152029,0.0,0.49548940009021203,0.49548940009021203
