,M88,M65,M76,M61,M96,M81,M63,M58,M93,M87,M90,M89,M69,costs,entropy
brown,0.099,0.099,0.099,0.099,0.099,0.003,0.099,0.003,0.099,0.099,0.099,0.099,0.001,0.0,3.371
convex,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.003,0.1,0.1,0.1,0.1,0.0,0.0,3.341
scaly,0.099,0.099,0.099,0.099,0.099,0.003,0.099,0.003,0.099,0.099,0.099,0.099,0.001,0.0,3.371
poisonous,0.099,0.099,0.099,0.099,0.099,0.003,0.099,0.003,0.099,0.099,0.099,0.099,0.001,0.0,3.371
free,0.099,0.099,0.099,0.099,0.099,0.003,0.099,0.003,0.099,0.099,0.099,0.099,0.001,0.0,3.371
closed,0.099,0.099,0.099,0.099,0.099,0.003,0.099,0.003,0.099,0.099,0.099,0.099,0.001,0.0,3.371
urban,0.1,0.1,0.1,0.1,0.1,0.003,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,3.341
flat,0.0,0.0,0.0,0.0,0.0,0.663,0.0,0.0,0.0,0.0,0.0,0.0,0.337,0.0,0.922
grasses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.663,0.0,0.0,0.0,0.0,0.337,0.0,0.922
prior,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,,
alpha,3.0, , , , , , , , , , , , , , 
entropy,0.178,0.178,0.178,0.178,0.178,0.042,0.178,0.042,0.178,0.178,0.178,0.178,0.087,,
entropy_sum,1.952, , , , , , , , , , , , , , 
