,white,convex,scaly,poisonous,free,closed,grasses,brown,edible,paths,smooth,urban,flat
M85,0.07614632758688757,0.06701912382448363,0.13507397109632016,0.06701912382448363,0.05929423153597836,0.05929423153597836,0.5361529905958683,0.0,0.0,0.0,0.0,0.0,0.0
M94,0.0,0.0005741236963231849,0.0011571199851249003,0.0005741236963231849,0.0005079479025901894,0.0005079479025901894,0.0045929895705854725,0.9920857472464628,0.0,0.0,0.0,0.0,0.0
M46,0.0,3.403585038703432e-05,6.859769583763836e-05,0.0,3.01127421280232e-05,3.01127421280232e-05,0.0,0.05881394946879527,0.47051159575036205,0.47051159575036205,0.0,0.0,0.0
M84,0.07614632758688757,0.06701912382448363,0.13507397109632016,0.06701912382448363,0.05929423153597836,0.05929423153597836,0.5361529905958683,0.0,0.0,0.0,0.0,0.0,0.0
M64,0.014773789717285676,0.013002944118215782,0.0,0.013002944118215782,0.01150417276737376,0.01150417276737376,0.0,0.0,0.0,0.0,0.8321884235658091,0.1040235529457261,0.0
M68,0.014773789717285676,0.013002944118215782,0.0,0.013002944118215782,0.01150417276737376,0.01150417276737376,0.1040235529457261,0.0,0.0,0.0,0.8321884235658091,0.0,0.0
M86,0.07614632758688757,0.06701912382448363,0.13507397109632016,0.06701912382448363,0.05929423153597836,0.05929423153597836,0.0,0.0,0.0,0.0,0.0,0.5361529905958683,0.0
M70,0.07614632758688757,0.06701912382448363,0.13507397109632016,0.06701912382448363,0.05929423153597836,0.05929423153597836,0.0,0.0,0.0,0.0,0.0,0.5361529905958683,0.0
M75,0.014773789717285676,0.013002944118215782,0.0,0.013002944118215782,0.01150417276737376,0.01150417276737376,0.1040235529457261,0.0,0.0,0.0,0.8321884235658091,0.0,0.0
M83,0.07614632758688757,0.06701912382448363,0.13507397109632016,0.06701912382448363,0.05929423153597836,0.05929423153597836,0.5361529905958683,0.0,0.0,0.0,0.0,0.0,0.0
M74,0.014773789717285676,0.013002944118215782,0.0,0.013002944118215782,0.01150417276737376,0.01150417276737376,0.0,0.0,0.0,0.0,0.8321884235658091,0.1040235529457261,0.0
M59,8.174070223426378e-05,0.0,0.0,7.194293432322687e-05,6.365050394139446e-05,6.365050394139446e-05,0.0005755434745858141,0.0,0.0,0.0,0.0046043477966865145,0.0,0.9945391240842874
M73,0.07614632758688757,0.06701912382448363,0.13507397109632016,0.06701912382448363,0.05929423153597836,0.05929423153597836,0.5361529905958683,0.0,0.0,0.0,0.0,0.0,0.0
M60,0.07614632758688757,0.06701912382448363,0.13507397109632016,0.06701912382448363,0.05929423153597836,0.05929423153597836,0.0,0.0,0.0,0.0,0.0,0.5361529905958683,0.0
M52,0.07614632758688757,0.06701912382448363,0.13507397109632016,0.06701912382448363,0.05929423153597836,0.05929423153597836,0.0,0.0,0.0,0.0,0.0,0.5361529905958683,0.0
M66,0.07614632758688757,0.06701912382448363,0.13507397109632016,0.06701912382448363,0.05929423153597836,0.05929423153597836,0.5361529905958683,0.0,0.0,0.0,0.0,0.0,0.0
M54,0.07614632758688757,0.06701912382448363,0.13507397109632016,0.06701912382448363,0.05929423153597836,0.05929423153597836,0.0,0.0,0.0,0.0,0.0,0.5361529905958683,0.0
M62,0.07614632758688757,0.06701912382448363,0.13507397109632016,0.06701912382448363,0.05929423153597836,0.05929423153597836,0.5361529905958683,0.0,0.0,0.0,0.0,0.0,0.0
M67,0.07614632758688757,0.06701912382448363,0.13507397109632016,0.06701912382448363,0.05929423153597836,0.05929423153597836,0.0,0.0,0.0,0.0,0.0,0.5361529905958683,0.0
M78,0.014773789717285676,0.013002944118215782,0.0,0.013002944118215782,0.01150417276737376,0.01150417276737376,0.0,0.0,0.0,0.0,0.8321884235658091,0.1040235529457261,0.0
M80,0.07614632758688757,0.06701912382448363,0.13507397109632016,0.06701912382448363,0.05929423153597836,0.05929423153597836,0.5361529905958683,0.0,0.0,0.0,0.0,0.0,0.0
M77,0.07614632758688757,0.06701912382448363,0.13507397109632016,0.06701912382448363,0.05929423153597836,0.05929423153597836,0.0,0.0,0.0,0.0,0.0,0.5361529905958683,0.0
M56,0.07614632758688757,0.06701912382448363,0.13507397109632016,0.06701912382448363,0.05929423153597836,0.05929423153597836,0.0,0.0,0.0,0.0,0.0,0.5361529905958683,0.0
M72,0.07614632758688757,0.06701912382448363,0.13507397109632016,0.06701912382448363,0.05929423153597836,0.05929423153597836,0.0,0.0,0.0,0.0,0.0,0.5361529905958683,0.0
M53,0.07614632758688757,0.06701912382448363,0.13507397109632016,0.06701912382448363,0.05929423153597836,0.05929423153597836,0.5361529905958683,0.0,0.0,0.0,0.0,0.0,0.0
