,M11,M13,M28,M26,M3,M21,M43,costs,entropy
brown,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
convex,0.011,0.0,0.389,0.389,0.086,0.126,0.0,0.0,1.813
fibrous,0.013,0.012,0.439,0.439,0.0,0.0,0.097,0.0,1.526
edible,0.01,0.01,0.354,0.354,0.078,0.115,0.078,0.0,2.127
free,0.01,0.01,0.354,0.354,0.078,0.115,0.078,0.0,2.127
crowded,0.01,0.01,0.354,0.354,0.078,0.115,0.078,0.0,2.127
grasses,0.058,0.055,0.0,0.0,0.444,0.0,0.444,0.0,1.508
white,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,0.0,0.11,0.0,0.0,0.0,0.0,0.89,0.0,0.499
yellow,0.0,0.0,0.43,0.43,0.0,0.139,0.0,0.0,1.443
woods,0.0,0.0,0.43,0.43,0.0,0.139,0.0,0.0,1.443
gray,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0
smooth,0.0,0.0,0.0,0.0,0.406,0.594,0.0,0.0,0.974
prior,0.143,0.143,0.143,0.143,0.143,0.143,0.143,,
alpha,4.0, , , , , , , , 
entropy,0.085,0.121,0.527,0.527,0.388,0.384,0.337,,
entropy_sum,2.37, , , , , , , , 
