,M23,M33,M19,M9,M18,M35,costs,entropy
yellow,0.25,0.002,0.0,0.25,0.25,0.25,0.0,2.015
convex,0.249,0.002,0.002,0.249,0.249,0.249,0.0,2.03
scaly,0.25,0.0,0.002,0.25,0.25,0.25,0.0,2.015
edible,0.249,0.002,0.002,0.249,0.249,0.249,0.0,2.03
free,0.249,0.002,0.002,0.249,0.249,0.249,0.0,2.03
closed,0.249,0.002,0.002,0.249,0.249,0.249,0.0,2.03
meadows,0.249,0.002,0.002,0.249,0.249,0.249,0.0,2.03
smooth,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
white,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
prior,0.167,0.167,0.167,0.167,0.167,0.167,,
alpha,4.0, , , , , , , 
entropy,0.583,0.016,0.016,0.583,0.583,0.583,,
entropy_sum,2.363, , , , , , , 
