,M47,M27,M20,M32,M12,costs,entropy
gray,0.333,0.333,0.0,0.0,0.333,0.0,1.585
sunken,0.333,0.333,0.0,0.0,0.333,0.0,1.585
fibrous,0.327,0.327,0.01,0.01,0.327,0.0,1.714
edible,0.327,0.327,0.01,0.01,0.327,0.0,1.714
free,0.327,0.327,0.01,0.01,0.327,0.0,1.714
closed,0.327,0.327,0.01,0.01,0.327,0.0,1.714
urban,0.327,0.327,0.01,0.01,0.327,0.0,1.714
brown,0.0,0.0,0.5,0.5,0.0,0.0,1.0
flat,0.0,0.0,1.0,0.0,0.0,0.0,0.0
convex,0.0,0.0,0.0,1.0,0.0,0.0,0.0
prior,0.2,0.2,0.2,0.2,0.2,,
alpha,4.0, , , , , , 
entropy,0.739,0.739,0.166,0.166,0.739,,
entropy_sum,2.548, , , , , , 
